Feature,Importance
IRALCFY,0.10801287576334115
KSSLR6YR,0.1029538016775354
IRMJFY,0.07431823500209098
NEWRACE2_1.0,0.0241692515637774
CATAG6_4.0,0.023751435283379883
IRSEX_1.0,0.022621643225775655
ILLYR_0.0,0.022351130214694665
IRSEX_2.0,0.022005419955285183
INCOME_1.0,0.02170832740759803
RSKMRJWK_2.0,0.02160143680328503
IRWRKSTAT18_4.0,0.021501766637713426
IRWRKSTAT18_1.0,0.0213511513604339
IRPYUD5ALC_0.0,0.021196433478201847
IRMARIT_3.0,0.02061948451629371
RSKCIGPKD_4.0,0.020570995792319125
IRPYUD5ALC_1.0,0.020487108492797227
IREDUHIGHST2_8.0,0.02036369508764205
ILLYR_1.0,0.019808491044122075
INCOME_2.0,0.018837821523377235
RSKMRJWK_1.0,0.01821357664574366
IRMARIT_4.0,0.01815914057247748
INCOME_4.0,0.01682184842325938
CATAG6_5.0,0.016498015328290386
IREDUHIGHST2_9.0,0.015796203262853276
IRMARIT_1.0,0.015786716441752894
IRPYUD5MRJ_1.0,0.01566177330839273
IREDUHIGHST2_11.0,0.015234563840714189
CATAG6_3.0,0.015182958413644025
NEWRACE2_7.0,0.015064573310315608
RSKCIGPKD_3.0,0.01500127033965588
IRPYUD5MRJ_0.0,0.0147269170450598
RSKMRJWK_3.0,0.013421371943447656
CATAG6_2.0,0.012970632260691993
IRWRKSTAT18_2.0,0.01140264370221557
INCOME_3.0,0.010999834098589715
RSKMRJWK_4.0,0.010761857128220143
NEWRACE2_2.0,0.010469810217877603
RSKCIGPKD_2.0,0.010118651604996386
IREDUHIGHST2_5.0,0.009924472078735081
RSKCIGPKD_1.0,0.009000576508816614
IREDUHIGHST2_7.0,0.008359034311069729
CATAG6_6.0,0.008167841827112523
IRINSUR4_1.0,0.007157414117356422
IRWRKSTAT18_3.0,0.007108057696736192
IRINSUR4_0.0,0.007060802858150768
IREDUHIGHST2_10.0,0.006501759024449636
CATAG6_1.0,0.006488287401989793
IREDUHIGHST2_6.0,0.006256287310310553
IRMARIT_2.0,0.005114731074733812
IREDUHIGHST2_4.0,0.0034472577701128203
NEWRACE2_6.0,0.0028919959582781795
IREDUHIGHST2_3.0,0.0028163247361897834
NEWRACE2_5.0,0.00268340925660402
NEWRACE2_3.0,0.002309556779695017
IREDUHIGHST2_2.0,0.0015314010500137993
NEWRACE2_4.0,0.0015214815213210485
IREDUHIGHST2_1.0,0.0011364460004620145
