feature,coef
AGE3_1.0,0.7580697652727516
IRSEX_2.0,0.7370260653832186
AGE3_2.0,0.680654912919152
AGE3_11.0,-0.5668084956788946
ILLYR_1.0,0.566780158238718
IRINSUR4_1.0,0.5583953024714686
RSKMRJWK_4.0,-0.5497840209290291
NEWRACE2_1.0,0.5346642784076416
AGE3_3.0,0.4825849801110118
NEWRACE2_6.0,0.42190885504435693
IRPYUD5ALC_1.0,0.4108866683833412
RSKCIGPKD_1.0,-0.38249886361096885
IREDUHIGHST2_11.0,0.33563033543087906
IRPYUD5MRJ_1.0,0.3004611051389926
NEWRACE2_2.0,-0.28923537488141415
IREDUHIGHST2_7.0,-0.26348769445997416
IREDUHIGHST2_8.0,-0.2606997963390715
IRWRKSTAT18_1.0,-0.2517831915105053
NEWRACE2_5.0,-0.24955820071876725
AGE3_5.0,-0.2192123967375131
KSSLR6YR,0.20090701816243767
AGE3_10.0,-0.19914296289585767
IRMARIT_1.0,-0.1756810558964816
IRMARIT_2.0,-0.16487408165747844
POVERTY3_1.0,-0.16007202563382447
RSKMRJWK_3.0,-0.15309218176368886
IRMARIT_3.0,0.14349660141021672
RSKCIGPKD_2.0,-0.1402062652725425
INCOME_4.0,-0.1307817178470603
IRALCFY,-0.12119280611240042
IREDUHIGHST2_9.0,0.11758928881388538
AGE3_4.0,-0.11393739656162705
INCOME_1.0,0.08982026839220009
IRWRKSTAT18_3.0,-0.08904135797709148
IREDUHIGHST2_4.0,-0.08349503847431602
AGE3_8.0,0.06941163977911052
RSKMRJWK_2.0,0.05018778676105954
IREDUHIGHST2_3.0,-0.05013612040060447
IREDUHIGHST2_10.0,0.04728136005856901
INCOME_2.0,-0.04350164159928827
AGE3_9.0,0.03815558245795482
POVERTY3_3.0,0.03142355857625594
IRMJFY,-0.019966178366789714
NEWRACE2_3.0,0.018628632103227214
RSKCIGPKD_4.0,0.014436733252684535
RSKCIGPKD_3.0,0.00988361508802529
IRWRKSTAT18_4.0,0.006461300298817153
RSKMRJWK_1.0,0.001881893002499811
IRMARIT_4.0,0.0017913227397106594
AGE3_7.0,-0.0016150609773555827
IRWRKSTAT18_2.0,0.00157781762278263
INCOME_3.0,0.0011098960911019393
