feature,coef
IRINSUR4_1.0,0.7203640248925061
AGE3_1.0,-0.37102231640728145
AGE3_11.0,0.35902725240554223
AGE3_10.0,0.3585220889808493
IRSEX_2.0,0.34302397308613014
IREDUHIGHST2_4.0,-0.33411934985672387
IREDUHIGHST2_11.0,0.3312004837265086
IREDUHIGHST2_2.0,-0.25410961859770714
IRPYUD5ALC_1.0,0.2505402518633171
ILLYR_1.0,0.24973664171908005
AGE3_9.0,0.23443720217807515
AGE3_3.0,-0.21753065425293006
AGE3_5.0,-0.18621850950648194
IRMARIT_3.0,0.17381733259430504
IREDUHIGHST2_9.0,0.16165456696545094
RSKCIGPKD_4.0,0.15030016694885567
AGE3_8.0,0.14777953950234432
IREDUHIGHST2_10.0,0.14452840640588976
IRWRKSTAT18_1.0,-0.1444372734256446
RSKMRJWK_4.0,-0.14390727762250163
AGE3_4.0,-0.1392604618052262
INCOME_4.0,0.13485183175563945
AGE3_7.0,0.12935851182596916
NEWRACE2_2.0,0.12550185910448583
IRWRKSTAT18_3.0,-0.1079740979098121
IRPYUD5MRJ_1.0,0.10713107036089213
NEWRACE2_7.0,0.08906204573112432
IREDUHIGHST2_8.0,-0.08255095652064819
IRALCFY,-0.08156591946550859
RSKMRJWK_2.0,0.07605872949093122
RSKCIGPKD_2.0,-0.07346426501122452
IRWRKSTAT18_4.0,0.06767979368477861
NEWRACE2_1.0,-0.05930991626735079
IRMARIT_1.0,-0.05626704589531878
IRMARIT_4.0,-0.052632563293434395
IREDUHIGHST2_3.0,-0.05220888246652917
INCOME_2.0,-0.04745153572732131
KSSLR6YR,0.0446075749797942
AGE3_2.0,-0.040626716689034593
POVERTY3_3.0,0.02419272650781903
IRMJFY,0.00892701294989829
RSKMRJWK_1.0,-0.007853479787461773
RSKCIGPKD_1.0,-0.00692296321217589
INCOME_3.0,-0.0022236069556598507
