Feature,Importance
IRALCFY,0.1187871141456862
KSSLR6YR,0.08262277761393107
IRMJFY,0.045024647854741445
NEWRACE2_1.0,0.02612159789096977
RSKMRJWK_2.0,0.025611033454951186
IREDUHIGHST2_11.0,0.025245531026130953
AGE3_10.0,0.021817384961217212
RSKMRJWK_3.0,0.021653485246122473
RSKCIGPKD_4.0,0.02163841117376046
AGE3_9.0,0.021473637181991825
IRWRKSTAT18_1.0,0.020645170670597537
IRWRKSTAT18_4.0,0.02054066926685564
INCOME_4.0,0.02053895891802579
IREDUHIGHST2_8.0,0.019891768237173434
IRMARIT_4.0,0.01984915015544516
NEWRACE2_7.0,0.019650282357457232
RSKMRJWK_4.0,0.01953022122821387
INCOME_2.0,0.019422686804680747
IRMARIT_1.0,0.019305244716095477
IREDUHIGHST2_9.0,0.019079190313404062
RSKMRJWK_1.0,0.017931860487195216
AGE3_11.0,0.017792574241185667
IRSEX_1.0,0.01772558261117151
IRSEX_2.0,0.01705552488861734
RSKCIGPKD_3.0,0.016980031579839103
POVERTY3_3.0,0.016630072630261523
IRMARIT_3.0,0.015422462674875686
NEWRACE2_2.0,0.015072890091691462
INCOME_3.0,0.015072782822853091
POVERTY3_2.0,0.014558620117809673
IRWRKSTAT18_2.0,0.013714504016666806
ILLYR_1.0,0.012138888957009026
POVERTY3_1.0,0.011956682126837809
ILLYR_0.0,0.011881346945274063
IREDUHIGHST2_10.0,0.011600588108547671
INCOME_1.0,0.011273596290241895
IRINSUR4_0.0,0.010242783006575678
IRINSUR4_1.0,0.010102992104316444
AGE3_8.0,0.010093228629185397
IRPYUD5ALC_1.0,0.00952012649964957
IRPYUD5ALC_0.0,0.00948029928324612
NEWRACE2_5.0,0.00907246551576501
AGE3_7.0,0.00859102180575936
IRMARIT_2.0,0.006985355635538086
RSKCIGPKD_2.0,0.006621753829980389
IREDUHIGHST2_7.0,0.006521738659948084
AGE3_5.0,0.00651075456874988
IRPYUD5MRJ_1.0,0.0058680617136438054
IRPYUD5MRJ_0.0,0.005632744616199296
AGE3_4.0,0.0056203198796351056
RSKCIGPKD_1.0,0.005427445635383612
IRWRKSTAT18_3.0,0.004834133832053734
IREDUHIGHST2_6.0,0.004257875514100378
AGE3_6.0,0.004177537855860008
AGE3_1.0,0.003614791745607859
NEWRACE2_6.0,0.0035206024557594643
IREDUHIGHST2_5.0,0.003238993290613731
AGE3_3.0,0.0025974596057142295
AGE3_2.0,0.0024421511583247245
IREDUHIGHST2_4.0,0.0024029575142024777
IREDUHIGHST2_1.0,0.0022556732592199443
IREDUHIGHST2_2.0,0.002100958326511348
IREDUHIGHST2_3.0,0.0013049482099004158
NEWRACE2_4.0,0.0010815403880164703
NEWRACE2_3.0,0.0006223136530103155
