Feature,Importance
KSSLR6YR,0.19228749748900026
IRALCFY,0.09204628038195922
IRMJFY,0.04412801485876984
NEWRACE2_1.0,0.02888258811727533
IRSEX_1.0,0.027416046012862245
IRSEX_2.0,0.02543019342492829
RSKMRJWK_2.0,0.020071218220278256
IREDUHIGHST2_11.0,0.019357449591999424
ILLYR_0.0,0.018770675544864637
ILLYR_1.0,0.01866791477588948
IREDUHIGHST2_8.0,0.01828896391707737
RSKCIGPKD_4.0,0.01818622749553255
IRWRKSTAT18_1.0,0.017977825561187752
AGE3_9.0,0.01685832055672695
RSKMRJWK_4.0,0.0165692529071305
IRWRKSTAT18_4.0,0.016559353797810795
IRMARIT_4.0,0.016409891595100215
INCOME_4.0,0.01620524815327691
RSKCIGPKD_3.0,0.015521003399590746
IREDUHIGHST2_9.0,0.015263224921496541
IRMARIT_1.0,0.015245655102987764
INCOME_2.0,0.014995773770320428
POVERTY3_3.0,0.014868957323241058
RSKMRJWK_3.0,0.014865858853451496
AGE3_10.0,0.014506239832859733
RSKMRJWK_1.0,0.014344562672066512
INCOME_3.0,0.013244683324934163
AGE3_11.0,0.01298552133826881
POVERTY3_2.0,0.012388419312893651
NEWRACE2_2.0,0.01236246923343173
NEWRACE2_7.0,0.012072207834791555
IRMARIT_3.0,0.011346880779785951
IRWRKSTAT18_2.0,0.011151132225576559
POVERTY3_1.0,0.010232153074499243
IRPYUD5ALC_1.0,0.009336975085718093
IRPYUD5ALC_0.0,0.00932874276370359
INCOME_1.0,0.009307365029826231
AGE3_8.0,0.008968216331292547
IREDUHIGHST2_10.0,0.0082913548908258
IRPYUD5MRJ_0.0,0.006996902147510058
AGE3_7.0,0.006982076922245346
IRINSUR4_1.0,0.006732489100899121
IRPYUD5MRJ_1.0,0.006663375608124913
IRINSUR4_0.0,0.006648731465429125
RSKCIGPKD_2.0,0.006457572276310378
AGE3_5.0,0.005632855367543728
NEWRACE2_5.0,0.00552469985957221
IREDUHIGHST2_7.0,0.005518966397966015
AGE3_2.0,0.005346909074494064
AGE3_4.0,0.00506522208010348
RSKCIGPKD_1.0,0.004954914014815708
NEWRACE2_6.0,0.004530739873310689
AGE3_1.0,0.00436714007403383
AGE3_3.0,0.004249969819380797
IREDUHIGHST2_5.0,0.004168711293692207
AGE3_6.0,0.004020382610965351
IRWRKSTAT18_3.0,0.0039788805700872775
IRMARIT_2.0,0.003761075111078829
IREDUHIGHST2_6.0,0.003411602784748635
IREDUHIGHST2_4.0,0.0027695603217239295
IREDUHIGHST2_2.0,0.0023290136136530546
IREDUHIGHST2_3.0,0.002272316243217032
IREDUHIGHST2_1.0,0.0016076308767086075
NEWRACE2_3.0,0.0007552009688068899
NEWRACE2_4.0,0.000512702020346596
