feature,coef
IRPYUD5ALC_1.0,1.16
ILLYR_1.0,1.09
IRMARIT_2.0,0.80
IREDUHIGHST2_5.0,0.78
CATAG6_4.0,0.76
IRMARIT_3.0,0.71
IREDUHIGHST2_3.0,0.71
IRPYUD5MRJ_1.0,0.64
IRINSUR4_1.0,0.54
IREDUHIGHST2_11.0,-0.52
NEWRACE2_4.0,0.51
NEWRACE2_5.0,-0.47
IRWRKSTAT18_4.0,0.46
IREDUHIGHST2_6.0,0.46
NEWRACE2_2.0,-0.45
INCOME_4.0,-0.44
IREDUHIGHST2_10.0,-0.44
CATAG6_5.0,0.43
IRMARIT_4.0,0.42
CATAG6_6.0,-0.42
IREDUHIGHST2_4.0,0.41
IRWRKSTAT18_3.0,0.39
CATAG6_3.0,0.37
IRWRKSTAT18_2.0,0.35
INCOME_3.0,-0.34
RSKCIGPKD_3.0,-0.29
NEWRACE2_6.0,-0.29
INCOME_2.0,-0.27
RSKMRJWK_4.0,-0.26
KSSLR6YR,0.26
RSKCIGPKD_4.0,-0.25
NEWRACE2_7.0,-0.23
CATAG6_2.0,-0.23
IREDUHIGHST2_2.0,0.21
IRALCFY,-0.18
IRMJFY,-0.17
IREDUHIGHST2_7.0,0.17
NEWRACE2_3.0,0.16
IREDUHIGHST2_9.0,-0.13
RSKMRJWK_2.0,-0.07
IRSEX_2.0,-0.07
RSKMRJWK_3.0,-0.06
RSKCIGPKD_2.0,0.04
IREDUHIGHST2_8.0,-0.01
