feature,coef
IREDUHIGHST2_11.0,-0.684581695030091
IRPYUD5ALC_0.0,-0.6087007428156697
IRPYUD5ALC_1.0,0.6087007428156697
CATAG6_4.0,0.5476280701212244
CATAG6_2.0,-0.49535971870484596
ILLYR_1.0,0.42914036300185404
ILLYR_0.0,-0.42914036300184455
IRMARIT_1.0,-0.40394065453958683
IREDUHIGHST2_4.0,0.37138039871668893
IRPYUD5MRJ_1.0,0.36601679382504343
IRPYUD5MRJ_0.0,-0.3660167938250244
IREDUHIGHST2_10.0,-0.36344625403630293
CATAG6_6.0,-0.3578946576187902
IREDUHIGHST2_6.0,0.3235928063294631
NEWRACE2_3.0,0.30189595697662674
IREDUHIGHST2_5.0,0.27440132245361476
NEWRACE2_5.0,-0.27226970283692215
INCOME_4.0,-0.25343419288152
IRWRKSTAT18_1.0,-0.23177594081575098
INCOME_1.0,0.22006944390420258
RSKCIGPKD_4.0,-0.21652771401717966
IREDUHIGHST2_3.0,0.21006044581262243
IRWRKSTAT18_4.0,0.19833796357610178
NEWRACE2_4.0,0.19736139282603443
IRMARIT_2.0,0.18801580657267197
CATAG6_3.0,0.1876578542857134
KSSLR6YR,0.17374349077671547
IRINSUR4_0.0,-0.1700229047416701
IRINSUR4_1.0,0.17002290474166445
IRMARIT_3.0,0.1613718299780129
NEWRACE2_2.0,-0.1582815740198667
IRALCFY,-0.15689911733442807
RSKCIGPKD_1.0,0.1551222448813412
IREDUHIGHST2_9.0,-0.15192171799550952
IRMJFY,-0.13332630652391253
RSKMRJWK_4.0,-0.12087033276771354
CATAG6_5.0,0.11897992114912775
NEWRACE2_6.0,-0.11550364725142565
NEWRACE2_1.0,0.11243118865174241
IRWRKSTAT18_3.0,0.10245108586186093
RSKCIGPKD_2.0,0.09664725390693993
RSKMRJWK_1.0,0.09625872385822384
IREDUHIGHST2_1.0,0.08481257148061815
IRWRKSTAT18_2.0,-0.06901310862221562
NEWRACE2_7.0,-0.06563361434617805
IRMARIT_4.0,0.05455301798887988
IREDUHIGHST2_8.0,-0.04182785338753889
RSKMRJWK_2.0,0.03752614890783468
RSKCIGPKD_3.0,-0.035241784771100196
INCOME_2.0,0.024801592797172547
IRSEX_1.0,-0.021650616130645197
IRSEX_2.0,0.021650616130645197
IREDUHIGHST2_2.0,-0.015020728878020511
RSKMRJWK_3.0,-0.01291453999834253
INCOME_3.0,0.008563156180148718
IREDUHIGHST2_7.0,-0.007449295465549845
CATAG6_1.0,-0.0010114692323971426
