group_reg,log10_group_reg,group,var_name,l2_norm,auc,acc,nnz
1e-06,-6.0,0,CATAG6,1.0718290250481046,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,1,IRSEX,0.48572434941569137,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,2,NEWRACE2,0.9734580637645778,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,3,IRMARIT,0.24307346624762508,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,4,IREDUHIGHST2,0.6633836245762078,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,5,IRWRKSTAT18,0.29184100955242603,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,6,IRINSUR4,0.4080216640535841,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,7,INCOME,0.08681086600535635,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,8,IRPYUD5ALC,0.21173535591487957,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,9,IRPYUD5MRJ,0.23861324946868612,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,10,ILLYR,0.36928959380095205,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,11,RSKCIGPKD,0.2036977222159789,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,12,RSKMRJWK,0.36764038245261443,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,13,IRALCFY,0.09037753919864744,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,14,IRMJFY,0.055247563649706385,0.7011160124154181,0.6842919076805312,57
1e-06,-6.0,15,KSSLR6YR,0.27383871170653484,0.7011160124154181,0.6842919076805312,57
2.310129700083158e-06,-5.636363636363637,0,CATAG6,1.0708469944885013,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,1,IRSEX,0.48571436402691,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,2,NEWRACE2,0.9719767036004684,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,3,IRMARIT,0.24289167123749025,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,4,IREDUHIGHST2,0.6625766588656593,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,5,IRWRKSTAT18,0.29163701979180273,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,6,IRINSUR4,0.40796059400686313,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,7,INCOME,0.0867150631232777,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,8,IRPYUD5ALC,0.21165073288356687,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,9,IRPYUD5MRJ,0.23846183339829832,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,10,ILLYR,0.369265093417132,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,11,RSKCIGPKD,0.20341154066962194,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,12,RSKMRJWK,0.36754065921518353,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,13,IRALCFY,0.0903474159562705,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,14,IRMJFY,0.05517670512307011,0.7011115271255481,0.6842912727985613,57
2.310129700083158e-06,-5.636363636363637,15,KSSLR6YR,0.27382944367782913,0.7011115271255481,0.6842912727985613,57
5.336699231206313e-06,-5.2727272727272725,0,CATAG6,1.0686071034376325,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,1,IRSEX,0.485690979568476,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,2,NEWRACE2,0.9685831925943453,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,3,IRMARIT,0.2424750870103397,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,4,IREDUHIGHST2,0.6607358183466944,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,5,IRWRKSTAT18,0.29116812486228544,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,6,IRINSUR4,0.40781888556244184,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,7,INCOME,0.08649367214176533,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,8,IRPYUD5ALC,0.21145530067005647,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,9,IRPYUD5MRJ,0.23811235348283002,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,10,ILLYR,0.3692083730143035,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,11,RSKCIGPKD,0.20275411105797636,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,12,RSKMRJWK,0.3673106310302788,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,13,IRALCFY,0.09027755754825892,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,14,IRMJFY,0.055012998908633204,0.7011014416932076,0.6839312987369255,57
5.336699231206313e-06,-5.2727272727272725,15,KSSLR6YR,0.2738080491526485,0.7011014416932076,0.6839312987369255,57
1.2328467394420658e-05,-4.909090909090909,0,CATAG6,1.0634547186476884,0.70107506382534,0.6838778416492326,57
