group_reg,log10_group_reg,group,var_name,l2_norm,auc,acc,nnz
1e-06,-6.0,0,CATAG6,0.879414540479512,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,1,IRSEX,0.03380548668414914,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,2,NEWRACE2,0.6591421230836794,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,3,IRMARIT,0.5005155562237177,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,4,IREDUHIGHST2,1.1007316339476567,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,5,IRWRKSTAT18,0.3368216210909238,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,6,IRINSUR4,0.25601168104990446,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,7,INCOME,0.33565502846344775,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,8,IRPYUD5ALC,0.8718258805532605,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,9,IRPYUD5MRJ,0.5357700986570274,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,10,ILLYR,0.6100514739968421,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,11,RSKCIGPKD,0.2945660508534752,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,12,RSKMRJWK,0.16891185553530833,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,13,IRALCFY,0.16061013266977947,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,14,IRMJFY,0.14321983560564716,0.758455624040264,0.7651907237576556,57
1e-06,-6.0,15,KSSLR6YR,0.17492922519230386,0.758455624040264,0.7651907237576556,57
2.310129700083158e-06,-5.636363636363637,0,CATAG6,0.8791576732574844,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,1,IRSEX,0.033710585593941765,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,2,NEWRACE2,0.6494018994637494,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,3,IRMARIT,0.49995910660447085,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,4,IREDUHIGHST2,1.0969790308595615,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,5,IRWRKSTAT18,0.3370257886928956,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,6,IRINSUR4,0.2557507049746774,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,7,INCOME,0.3358318231889427,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,8,IRPYUD5ALC,0.8716848700215981,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,9,IRPYUD5MRJ,0.5354567992541762,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,10,ILLYR,0.6100204667907546,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,11,RSKCIGPKD,0.29476321879491657,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,12,RSKMRJWK,0.1686007359832375,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,13,IRALCFY,0.16054981398181312,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,14,IRMJFY,0.1430886689758587,0.7584953904302056,0.7649581099514016,57
2.310129700083158e-06,-5.636363636363637,15,KSSLR6YR,0.17489879190579283,0.7584953904302056,0.7649581099514016,57
5.336699231206313e-06,-5.2727272727272725,0,CATAG6,0.8785216301746271,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,1,IRSEX,0.03364060392357712,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,2,NEWRACE2,0.6456060960946651,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,3,IRMARIT,0.49942587666090876,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,4,IREDUHIGHST2,1.0945811303471409,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,5,IRWRKSTAT18,0.336897969447821,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,6,IRINSUR4,0.25542145901597724,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,7,INCOME,0.3358765961835824,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,8,IRPYUD5ALC,0.8714516047275872,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,9,IRPYUD5MRJ,0.5350963354765823,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,10,ILLYR,0.6099519246554973,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,11,RSKCIGPKD,0.29457378910642945,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,12,RSKMRJWK,0.16840879450459686,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,13,IRALCFY,0.1604670169401416,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,14,IRMJFY,0.14289251302206674,0.758496856475704,0.764947126724643,57
5.336699231206313e-06,-5.2727272727272725,15,KSSLR6YR,0.17487012987704492,0.758496856475704,0.764947126724643,57
1.2328467394420658e-05,-4.909090909090909,0,CATAG6,0.877048584429335,0.7584918494001127,0.7648801994687761,57
